keyword,search_volume,yoy_change,peak_month,cpc_value,cpc_currency,cpc_text,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12
google search console,14000,11.0,2026-05-01,19.01,CZK,19.01 Kč,14000,18000,18000,14000,18000,12000,12000,12000,14000,14000,14000,12000
ctr,960,-16.0,2026-04-01,2.57,CZK,2.57 Kč,990,990,990,1300,990,990,870,870,870,990,870,870
rag,1200,38.0,2026-05-01,2.07,CZK,2.07 Kč,1500,1500,1500,960,1500,1200,1200,960,960,1200,1200,960
strukturovaná data,190,-5.0,2025-09-01,0.0,CZK,0.00 Kč,180,180,180,240,130,240,130,180,290,180,180,180
googlebot,80,13.0,2025-04-01,0.0,CZK,0.00 Kč,90,70,120,120,70,70,70,70,70,120,90,70
ai mode,1700,6302.0,2026-05-01,5.41,CZK,5.41 Kč,1800,2700,4100,30,6100,240,930,300,200,1500,930,1200
ai overview,390,136.0,2026-06-01,7.87,CZK,7.87 Kč,450,300,450,160,300,670,450,360,450,450,300,300
ai overviews,390,136.0,2026-06-01,7.87,CZK,7.87 Kč,450,300,450,160,300,670,450,360,450,450,300,300
ai seo,130,55.0,2026-04-01,40.36,CZK,40.36 Kč,160,140,160,160,90,140,110,140,140,140,110,110
ai vyhledávání,70,125.0,2025-10-01,3.7,CZK,3.70 Kč,90,70,70,30,70,70,70,50,40,140,110,50
featured snippet,220,1.0,2026-06-01,0.0,CZK,0.00 Kč,160,220,350,280,130,440,350,220,100,60,220,160
ga4,820,31.0,2026-05-01,15.49,CZK,15.49 Kč,960,960,960,690,960,690,690,690,840,840,840,690
režim ai mode,30,999900.0,2026-02-01,0.0,CZK,0.00 Kč,90,140,140,0,0,0,0,0,0,0,0,0
gptbot,20,-15.0,2025-10-01,0.0,CZK,0.00 Kč,20,20,20,30,20,20,10,10,10,40,10,10
long tail,160,8.0,2025-11-01,0.0,CZK,0.00 Kč,170,140,140,170,110,140,110,110,110,110,480,110
microsoft copilot,9800,-13.0,2026-04-01,4.53,CZK,4.53 Kč,8700,7100,11000,13000,8700,11000,8700,8700,11000,13000,11000,7100
aio,520,17.0,2026-01-01,1.43,CZK,1.43 Kč,680,450,560,450,560,450,450,450,450,560,560,560
perplexity,46000,39.0,2025-10-01,3.28,CZK,3.28 Kč,49000,40000,40000,49000,27000,49000,40000,40000,49000,60000,60000,49000
perplexity comet,720,3259.0,2025-10-01,3.54,CZK,3.54 Kč,580,320,470,40,320,170,980,870,980,1900,1300,710
answer engine optimization,10,67.0,2025-05-01,24.17,CZK,24.17 Kč,10,10,10,10,30,10,10,10,20,10,10,10
generative engine optimization,80,300.0,2025-08-01,30.54,CZK,30.54 Kč,90,90,90,30,50,90,50,120,90,120,90,70
generativní ai,200,-16.0,2026-04-01,6.94,CZK,6.94 Kč,210,170,210,260,170,210,140,110,170,260,260,210
geo,1500,33.0,2026-05-01,11.11,CZK,11.11 Kč,1900,1900,1900,1300,1900,1300,1100,1100,1300,1300,1300,1300
google ai mode,370,1314.0,2025-10-01,0.0,CZK,0.00 Kč,300,450,450,30,680,160,160,240,240,940,370,370
google analytics 4,490,-9.0,2026-04-01,9.26,CZK,9.26 Kč,560,560,560,560,460,460,460,460,460,460,460,370
grok,50000,362.0,2026-01-01,4.06,CZK,4.06 Kč,104000,70000,86000,31000,57000,26000,31000,31000,26000,38000,57000,47000
imprese,480,-24.0,2026-04-01,0.0,CZK,0.00 Kč,600,490,490,600,490,490,260,260,600,600,490,400
indexace,390,-23.0,2026-04-01,0.0,CZK,0.00 Kč,510,420,420,510,340,420,280,340,340,280,340,510
jak funguje chatgpt,700,259.0,2025-10-01,2.81,CZK,2.81 Kč,650,1200,650,340,340,420,800,650,800,1200,800,530
rich results,20,117.0,2025-05-01,0.0,CZK,0.00 Kč,20,20,30,20,30,30,10,20,30,20,10,20
rich snippets,50,7.0,2026-06-01,9.19,CZK,9.19 Kč,70,50,50,50,50,90,30,50,50,50,40,70
robots.txt,300,-19.0,2026-04-01,4.92,CZK,4.92 Kč,310,370,370,370,200,370,310,310,250,250,250,200
schema markup,40,68.0,2025-10-01,6.41,CZK,6.41 Kč,50,40,50,40,40,40,40,30,40,70,50,30
search console,4800,11.0,2026-03-01,17.87,CZK,17.87 Kč,5400,5400,6500,5400,5400,4400,4400,3600,4400,4400,4400,4400
